Type,Country,Activity,Sex ,Age,Fatal (Y/N),Species 
Unprovoked,AUSTRALIA,Surfing with dolphins,M,17,N,"Tiger shark, 4 m [13'] "
Unprovoked,PAPUA NEW GUINEA,"Scuba diving, hand feeding sharks",F,27,N,7' silvertip shark
Unprovoked,CHILE,Skindiving,M,27,Y,16' white shark
Unprovoked,USA,Surfing (sitting on his board),M,21,N,5.5 m to 6 m [18' to 20']  white shark
Unprovoked,AUSTRALIA,Surfing,M,38,N,7' shark
Unprovoked,USA,Surfing,M,15,N,6' shark
Unprovoked,USA,Surfing,M,30,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,USA,Surfing,M,23,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,USA,Wading,F,23,N,1.2 m [4'] shark
Unprovoked,USA,Surfing,M,21,N,5' shark
Unprovoked,USA,Walking,F,27,N,1.8 m [6'] shark
Unprovoked,USA,Snorkeling,M,38,Y,3 m [10'] bull shark
Provoked,USA,Diving in Sharkey's Reef restaurants aquarium,M,27,N,"Tiger shark, 1.8 m [6']"
Unprovoked,USA,Surfing,M,27,N,2.4 m to 3 m [8' to 10'] white shark
Unprovoked,BAHAMAS,Free diving & spearfishing ,M,27,N,2 m to 2.5 m shark
Unprovoked,BAHAMAS,Spearfishing on scuba,M,28,N,1.5 m [5'] Caribbean reef shark
Unprovoked,BAHAMAS,Diving,M,35,N,1.5 m [5'] Caribbean reef shark
Unprovoked,BAHAMAS,Snorkeling,M,27,N,1.5 m [5'] shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,36,N,White shark
Unprovoked,USA,Scuba diving,M,42,N,Sandtiger shark
Unprovoked,USA,Sittting in water with his child,M,37,N,Sand shark?
Unprovoked,USA,Surfing,M,25,N,1.8 m to 2.4 m [6' to 8'] shark
Unprovoked,USA,Surfing,M,27,N,White shark
Unprovoked,SOUTH AFRICA,Surfing,M,17,N,1.5 m to 2 m [5' to 6.75'] shark
Boat,SOUTH AFRICA,other,M,27,N,"Raggedtooth shark, 2 m "
Unprovoked,SOUTH AFRICA,Surfing,M,20,N,"1 m ""grey-colored"" shark"
Unprovoked,SOUTH AFRICA,Lying atop surfboard,F,15,N,Zambezi shark (tooth fragments recovered)
Boat,AUSTRALIA,Drift fishing,M,27,N,"Mako shark, 3 m [10'], 200-kg [441-lb] "
Unprovoked,Fiji,Diving,M,22,N,"Tiger shark, 3 m "
Provoked,USA,Fishing,M,27,N,Mako shark
Provoked,SOUTH AFRICA,Attempting to lasso shark's tail,M,33,N,1.5 m copper shark
Provoked,SOUTH AFRICA,"Returning to shore, collided with shark",M,27,N,6 m shark
Unprovoked,AUSTRALIA,Surfing,M,12,N,Wobbegong shark
Unprovoked,USA,Surfing,M,16,N,1.8 m [6'] blacktip shark
Unprovoked,USA,Surfing,M,20,N,2 m [6.75'] shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,21,N,White shark
Sea Disaster,DOMINICAN REPUBLIC,"Vessel caught fire & capsized, survivors in the water",M,27,Y,40 to 50 sharks attacked survivors in the water
Unprovoked,AUSTRALIA,Scuba Diving for scallops,M,47,Y,White shark
Unprovoked,SOUTH AFRICA,Surfing,M,24,N,3.5 m [11.5']  white shark
Unprovoked,USA,Wading,M,12,N,1.2 m to 1.5 m [4' to 5'] shark
Unprovoked,USA,Surfing (sitting on his board),M,40,N,5.7 m white shark
Unprovoked,USA,Surfing,M,27,N,3' to 4' shark
Unprovoked,USA,Body surfing,F,32,N,4' shark
Unprovoked,USA,Wading,F,16,N,4' shark
Boat,USA,Dropping anchor,M,27,N,12' shark
Unprovoked,BAHAMAS,Spearfishing,M,27,N,2.5 to 3 m shark
Provoked,USA,Fishing,M,27,N,1.5 m [5'] blacktip shark
Unprovoked,USA,other,M,12,N,1.5 m to 1.8 m [5' to 6'] shark
Unprovoked,VANUATU,Swimming,M,8,Y,4.3 m shark
Unprovoked,AUSTRALIA,Surfing,M,18,N,"Bronze whaler shark, 2 m to 3 m "
Provoked,SOUTH AFRICA,other,M,27,N,3 m white shark
Unprovoked,USA,Windsurfing,M,27,N,Spinner shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,30,N,>2.5 m [8.25'] white shark
Boat,ITALY,Boat,M,27,N,White shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,27,N,"Raggedtooth shark, 2.5 m [8.25'] "
Unprovoked,SOUTH AFRICA,Body boarding,M,21,Y,3 m [10'] white shark
Unprovoked,USA,Surfing,M,40,N,1.8 m to 2.1 m [6' to 7'] spinner or blacktip shark
Unprovoked,USA,Free diving  & spearfishing (submerged),M,27,N,5 m to 6 m [16.5' to 20'] white shark
Unprovoked,NEW CALEDONIA,Spearfishing,M,27,N,Tiger shark
Provoked,SOUTH AFRICA,NSB Meshing,M,27,N,"Raggedtooth shark, 1.96 m, 140-kg "
Unprovoked,USA,Swimming,F,6,N,"Lemon shark, 1.8 m to 2.4 m [6' to 8'], tooth fragment recovered"
Unprovoked,SOUTH AFRICA,Racing ski,M,32,N,1.6 m shark
Unprovoked,USA,Surfing,M,28,N,Bull shark
Unprovoked,AUSTRALIA,Scuba diving,F,27,N,Wobbegong shark
Boat,AUSTRALIA,Fishing,M,27,N,Tooth fragment of a white shark recovered. Authorities believed shark was 6 m [20']  total length
Unprovoked,USA,other,M,8,N,1.5 m [5'] shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,26,N,1.2 m [4'] dusky shark
Unprovoked,AUSTRALIA,Scuba diving,M,27,N,Wobbegong shark
Unprovoked,SPAIN,Diving,M,27,N,2 m shark
Unprovoked,SPAIN,Windsurfing,M,27,N,3.5 m white shark
Unprovoked,SOUTH AFRICA,Treading water,M,26,N,>1 m shark
Unprovoked,SOUTH AFRICA,Surfing,M,23,N,2 m [6.75'] shark
Unprovoked,SOUTH AFRICA,Surfing,M,21,N,>2.4 m [8'] white shark
Unprovoked,SOUTH AFRICA,Swimming,M,46,N,Raggedtooth shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,29,N,"Raggedtooth shark, 2 m [6.75'] "
Unprovoked,AUSTRALIA,Surfing,M,29,N,"Bronze whaler shark, 3.5 m "
Unprovoked,USA,Surfing,M,22,N,Blacktip shark
Unprovoked,USA,Surfing,M,16,N,1.5 m [5'] shark
Unprovoked,USA,other,M,27,N,Sandtiger shark
Provoked,AUSTRALIA,Fishing,M,27,N,1m shark
Boat,USA,Boat,M,27,N,5.2 to 5.8 m white shark
Unprovoked,SOUTH AFRICA,Body boarding,M,22,N,2.5 m [8.25'] white shark
Unprovoked,USA,Hookah diving for abalone,M,46,N,2 m to 2.5 m [6.75'  to 8.25'] sixgill or sevengill shark
Unprovoked,USA,Body boarding,M,33,N,"Thought to involve a Tiger shark,  3.7 m [12'] "
Unprovoked,USA,Floating on inner tube after diving for lobster,M,24,N,1.8 m to 2.4 m [6' to 8'] shark
Provoked,USA,Fishing,M,27,N,"6', 100-lb shark"
Unprovoked,USA,Free diving & spearfishing (descending),M,27,N,4 m to 5 m [13' to 16.5'] white shark
Unprovoked,USA,Scuba diving,M,27,N,1.8 m silky shark
Unprovoked,USA,Wading,F,13,N,Possibly a small hammerhead shark
Boat,USA,Bottom fishing for lingcod & had hooked a fish,M,27,N,5 m to 6 m [16.5' to 20'] white shark
Unprovoked,USA,Playing in knee-deep water,F,10,N,"Tiger shark, 2.4 m to 2.7 m [8' to 9'] "
Unprovoked,ITALY,Snorkeling,M,13,N,"3 m to 3.6 m  [10' to 11'9""] white shark"
Unprovoked,USA,"Surfing, but lying prone on his board",M,27,N,Shark involvement not confirmed
Provoked,SOUTH AFRICA,Spearfishing,M,39,N,30-kg [66-lb] shark
Unprovoked,AUSTRALIA,Free diving for scallops,F,33,Y,6 m [20'] white shark
Unprovoked,USA,Scuba Diving for lobster (at surface),M,29,N,6 m [20'] white shark
Unprovoked,SOUTH AFRICA,Swimming,M,15,N,Raggedtooth shark
Unprovoked,SOUTH AFRICA,Surfing,M,18,N,"3.5 m white shark, tooth fragments recovered"
Boat,NEW ZEALAND,Investigating shark sighting,M,27,N,6 m shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,34,N,3.5 m [11.5'] white shark
Unprovoked,NEW CALEDONIA,Spearfishing,M,27,N,Tiger shark
Provoked,SOUTH AFRICA,Spearfishing,M,20,N,1.5 m [5'] dusky shark
Unprovoked,IRAN,Fishing,M,27,Y,Bull shark
Boat,ITALY,Boat,M,27,N,White shark
Unprovoked,AUSTRALIA,Sailing on catamaran & fell into the water,M,16,Y,"Tiger shark, 4 m "
Unprovoked,USA,Surfing,M,13,N,1.2 m [4'] shark
Provoked,USA,Spearfishing,M,29,N,"""a small shark"""
Unprovoked,USA,Surfing or body surfing,F,23,N,1.5 m [5'] shark
Unprovoked,USA,Surfing,M,15,N,1.2 m [4'] blacktip shark
Unprovoked,USA,Surfing (sitting on his board),M,25,N,3 m to 5 m [10' to 16.5'] white shark
Unprovoked,USA,"Free diving , but surfacing",M,27,N,3 m to 4 m [10' to 13']  white shark
Unprovoked,USA,Surfing,M,16,N,Hammerhead shark?+O2356
Unprovoked,USA,Wading,M,27,N,small blue shark
Unprovoked,USA,Skindiving,M,28,Y,4.5 m to 5 m white shark
Provoked,MEXICO,Spearfishing,M,27,N,4.5 m to 5.5m white shark
Unprovoked,USA,Swimming,F,18,N,1.2 m [4'] shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,27,N,Raggedtooth shark 
Unprovoked,SOUTH AFRICA,Surfing,M,27,N,2.4 m [8'] white shark
Unprovoked,USA,Towing her sister on plastic ski board,F,13,N,1.2 m to 1.5 m [4' to 5'] hammerhead shark
Boat,SOUTH AFRICA,Rowing,M,27,N,2.5 m [8.25'] shark
Provoked,SOUTH AFRICA,Fishing,M,27,N,"Raggedtooth shark, 56-kg [123-lb] "
Provoked,SOUTH AFRICA,Scuba diving,M,33,N, 1.5 m [5'] dusky shark
Unprovoked,AUSTRALIA,Spearfishing,M,27,N,1.5 m white-tipped reef shark
Unprovoked,SOUTH AFRICA,Swimming,M,14,N,"Raggedtooth shark, 1 m "
Provoked,USA,Steinhart Aquarium,M,27,N,Sevengill shark
Unprovoked,AUSTRALIA,Scuba diving for abalone,M,48,N,12' white shark
Unprovoked,SOUTH AFRICA,Swimming,M,47,N,"Raggedtooth shark, >1 m "
Sea Disaster,PHILIPPINES,Ferry boat sank,M,27,N,.5 m shark
Unprovoked,USA,Surfing,M,15,N,Tiger shark
Unprovoked,USA,Surfing,M,16,N,1.5 m [5'] shark
Unprovoked,USA,Wading,M,20,N,4.5' shark
Unprovoked,USA,Surfing,M,27,N,White shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,29,N,5 m [16.5'] white shark
Unprovoked,USA,Swimming,F,14,N,Sand shark
Provoked,USA,Skindiving,M,14,N,Nurse shark
Unprovoked,USA,Diving,F,22,N,6' to 8' bull shark
Sea Disaster,AUSTRALIA,Swimming from the New Venture ,F,21,Y,"Tiger shark, 5 m [16.5']"
Sea Disaster,AUSTRALIA,Swimming from the New Venture ,M,24,Y,"Tiger shark, 5 m [16.5']"
Sea Disaster,AUSTRALIA,14 m prawn trawler New Venture capsized  & sank in heavy seas Three people in the water,M,28,N,"Tiger shark, 5 m [16.5']"
Unprovoked,SOUTH AFRICA,Surfing,M,27,N,3 m to 4 m [10' to 13'] shark
Unprovoked,USA,Windsurfing,F,39,N,3.5' hammerhead shark
Unprovoked,BAHAMAS,other,M,30,N,6' blacktip shark
Unprovoked,BAHAMAS,Spearfishing,M,27,N,Caribbean reef shark
Unprovoked,USA,Water-skiing,M,21,N,6' shark
Unprovoked,SOUTH AFRICA,Fishing,M,27,N,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)"
Unprovoked,SOUTH AFRICA,Spearfishing,M,17,N,1.8 m [6'] Zambezi shark
Unprovoked,SOUTH AFRICA,Surfing,M,27,N,Blacktip or spinner shark
Unprovoked,NEW CALEDONIA,other,M,27,N,"""a small shark"""
Unprovoked,SOUTH AFRICA,Paddleskiing,M,16,N,3 m [10'] shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,32,N,White shark
Provoked,USA,Fishing,M,27,N,Blue sharks
Unprovoked,USA,Windsurfing,M,26,N,1.5 m [5'] shark
Unprovoked,SOUTH AFRICA,Surfing,M,16,N,"Believed to involve a 2.8 m [9'3""] white shark"
Unprovoked,USA,Surfing,M,20,N,1.5 m [5'] shark
Unprovoked,USA,Diving,M,36,N,White shark
Unprovoked,USA,Free diving for abalone from Zodiac (submerged),M,28,N,5 m to 6 m [16.5' to 20'] white shark
Unprovoked,TUNISIA,Windsurfing,M,27,N,"2.1 m [7'] shark, possibly a spinner shark"
Unprovoked,SOUTH AFRICA,Paddleskiing,M,38,N,"2.4 m [8'] white shark, species identity confirmed by tooth fragment"
Unprovoked,USA,Paddle Boarding,M,26,N,4.5 m to 5.5 m [14.7' to 18'] white shark
Unprovoked,USA,Swimming,M,17,N,0.9 m to 1.2 m [3' to 4'] shark
Unprovoked,SOUTH AFRICA,Surfing,M,27,Y,"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard"
Unprovoked,USA,Swimming,M,20,N,5' shark
Unprovoked,BAHAMAS,Spearfishing ,M,19,N,"Lemon shark, 2 m [6'9""]"
Unprovoked,USA,"Sailboarding, fell into water 100 yards outside the breakwater",M,27,N,"1.2 m to 1.5 m [4' to 5'] ""reef shark"""
Unprovoked,AUSTRALIA,Spearfishing,M,32,Y,5.5 m [18''] white shark
Unprovoked,USA,Surfing,M,18,N,4' to 5' shark
Unprovoked,USA,Scuba diving (submerged),M,27,N,5 m [16.5'] white shark
Unprovoked,SOUTH AFRICA,Swimming,M,20,N,Raggedtooth shark
Boat,ITALY,Boat,M,27,UNKNOWN,6 m [20'] white shark
Boat,ITALY,Fishing on a boat,M,27,N,White shark
Unprovoked,USA,Surfing,M,24,Y,7 m [23'] white shark
Unprovoked,USA,"Spearfishing, but swimming on surface",M,27,N,"Tiger shark, 3.7 m [12']"
Provoked,SOUTH AFRICA,Inspecting teeth of supposedly dead (hooked & shot) shark,M,27,N,"3.5 m [11.5'], 510-kg [1125-lb] hooked & shot white shark"
Unprovoked,USA,Diving to untangle a crab trap line from boat's propeller,M,59,N,"2.1 m [7'] shark with ""a very flat head that had followed the boat for 3 days"
Unprovoked,USA,Swimming,M,19,N,1.8 m to 2.4 m [6' to 8'] shark
Unprovoked,USA,Surfing,M,24,N,6' shark
Unprovoked,USA,Swimming,M,26,Y,Said to involve a tiger shark or a hammerhead shark
Unprovoked,USA,Surfing,M,15,N,6' shark
Provoked,USA,Spearfishing,M,19,N,"1.8 m [6'] shark, species identity questionable"
Unprovoked,USA,Diving,M,27,N,small nurse shark
Unprovoked,BAHAMAS,Snorkeling on surface,M,53,N,Mako shark (tooth fragments recovered)
Unprovoked,USA,Swimming,F,16,N,"""sandshark"""
Unprovoked,SOUTH AFRICA,Surfing,M,32,N,Possibly a  1.8 m [6'] Zambezi shark
Unprovoked,USA,Spearfishing,M,27,N,2.4 m [8'] shark
Unprovoked,SOUTH AFRICA,Catching sardines,M,27,N,"""gray shark"""
Boat,ENGLAND,Fishing,M,27,N,"13', 400-lb thresher shark"
Unprovoked,SOUTH KOREA,Shell diving,F,27,Y,6 m  white shark
Unprovoked,SOUTH AFRICA,Surfing,M,27,N,Raggedtooth shark
Unprovoked,USA,Diving,M,27,N,Lemon shark
Unprovoked,SOUTH AFRICA,Surfing,M,19,N,"Raggedtooth shark, 2.5 m [8.25'] "
Unprovoked,SOUTH AFRICA,Surfing,M,24,N,"Tiger shark, 2.1 m [7']"
Unprovoked,USA,Standing / Wading,M,19,N,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark"
Unprovoked,USA,Surfing,M,24,N,C. maculpinnis or C. limbatus
Unprovoked,CHILE,Free diving Spearfishing,M,27,N,White shark
Unprovoked,BRAZIL,Diving,M,27,UNKNOWN,White shark
Unprovoked,SOUTH AFRICA,Swimming,M,30,N,Juvenile dusky or blacktip shark
Unprovoked,AUSTRALIA,Exercising his dog in the shallows,M,27,N,1 m hammerhead shark
Unprovoked,USA,Surfing,M,15,N,1.8 m to 2.4 m [6' to 8'] hammerhead shark
Unprovoked,USA,Commercial spearfishing,M,25,N,Tiger shark
Unprovoked,AUSTRALIA,Surf-skiing,M,27,N,"Tiger shark, 2.5 m "
Unprovoked,SOUTH AFRICA,Paddleskiing,M,25,N,3.5 m [11.5'] shark
Unprovoked,REUNION,Spearfishing,M,22,N,1.8 m [6'] white shark
Unprovoked,USA,Surfing,M,29,N,4 m to 5 m [13' to 16.5'] white shark
Unprovoked,USA,Surfing,M,19,N,4 m to 5 m [13' to 16.5'] white shark
Unprovoked,USA,Resting on body board,M,27,N,"Tiger shark, 4.3 m [14'] "
Unprovoked,SPAIN,Skin diving,M,27,N,Blue shark
Unprovoked,USA,Standing,F,22,N,4' to 8' shark
Provoked,USA,Scuba diving,F,44,N,Blue shark
Unprovoked,SOUTH AFRICA,Surfing,M,22,N,1.8 m [6'] shark
Unprovoked,MEXICO,Body surfing,F,13,N,Tiger shark
Unprovoked,SOUTH AFRICA,Free diving,M,52,Y,Tiger shark
Unprovoked,BRAZIL,Swimming,M,27,N,2 m shark
Provoked,SOUTH AFRICA,Fishing,M,61,N,1.5 m [5'] hammerhead shark
Unprovoked,SOUTH AFRICA,Body boarding,M,24,N,"2.8 m [9'3""] white shark"
Unprovoked,KENYA,Spearfishing,M,29,N,2.2 m shark
Provoked,SOUTH AFRICA,Spearfishing,M,29,N,"2 m [6'9""] Zambesi shark"
Unprovoked,SOUTH AFRICA,Swimming,M,27,N,Hammerhead shark
Unprovoked,SOUTH AFRICA,Swimming,M,25,N,"Raggedtooth shark, 2 m [6'9""] "
Unprovoked,CHILE,Hookah Diving,M,27,Y,White shark
Provoked,NORTH ATLANTIC OCEAN,Gaffing netted shark,M,34,N,1.8 m [6'] dogfish
Invalid,PORTUGAL,Spearfishing,M,19,Y,White shark?
Unprovoked,SOUTH CHINA SEA,Diving,M,32,N,6' shark
Unprovoked,USA,Surfing,M,20,N,"White shark, 4 m [13'] "
Provoked,SOUTH AFRICA,Shark fishing,M,27,N,"White shark, 5 m "
Provoked,SOUTH AFRICA,Fishing,M,27,N,"Raggedtooth shark, 50-kg [110-lb], 2 m [6.75'] gaffed "
Unprovoked,AUSTRALIA,Scuba diving,M,18,N,"""a small shark"""
Provoked,SOUTH AFRICA,Spearfishing,M,25,N,"White shark, 2.5 m [8.25']  "
Unprovoked,NEW CALEDONIA,other,M,27,Y,2 m shark
Unprovoked,USA,Surfing,M,27,N,Blacktip or spinner shark
Unprovoked,USA,Scuba diving (submerged),M,27,N,"White shark, 4 m to 5 m [13' to 16.5'] "
Unprovoked,SOUTH AFRICA,"Surfing, collided with shark",M,19,N,1.5 m to 2 m [5' to 6.75'] shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,23,Y,"White shark, 2.3 m [7.5'], tooth fragment recovered"
Unprovoked,USA,Surfing,M,27,N,2.4 m [8'] shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,27,N,"White shark, 3.7 m [12'] "
Unprovoked,ITALY,Diving,M,27,N,"White shark, 5 m [16.5'] "
Unprovoked,AUSTRALIA,Scuba diving for abalone,M,34,N,15' shark
Unprovoked,USA,Wading,M,27,N,"2 m [6'9""] shark"
Unprovoked,AUSTRALIA,Scuba diving,M,27,N,"Sevengill shark, 2.4 m"
Unprovoked,SOUTH AFRICA,Fishing for mackerel,M,27,N,270 kg shark
Unprovoked,SOUTH AFRICA,Diving,M,27,N,White shark
Unprovoked,SOUTH AFRICA,Surfing,M,17,N,Thought to involve a blacktip shark
Unprovoked,SOUTH AFRICA,Surfing,M,18,N,"Tiger shark, 3 m [10']"
Boat,SOUTH AFRICA,Fishing for bottom fish,M,27,N,3 m [10'] white shark (Tooth  recovered from boat)
Provoked,SOUTH AFRICA,Standing,M,27,N,1.5 to 2 m [5' to 6.75'] shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,25,N,"White shark, 5 m [16.5'] "
Unprovoked,AUSTRALIA,Surfing,M,17,N,White shark
Boat,SOUTH AFRICA,Fishing,M,27,N,White shark
Unprovoked,USA,Free diving for abalone (surfacing),M,20,N,"White shark, 5.5 m to 6 m [18' to 20']  "
Provoked,USA,Spearfishing / Scuba diving,M,27,N,"Bull shark, 8"
Unprovoked,USA,Collecting fish from net,M,25,N,"Bull shark, 4' to 5' "
Boat,SOUTH AFRICA,Fishing for yellowtail,M,27,N,"Mako shark, 2.3 m, 150-kg  "
Unprovoked,USA,Swimming,M,27,N,1.2 m [4'] shark
Unprovoked,AUSTRALIA,"Pushed surfmat of a young girl out of the shark's path, drawing shark's attention to his own board",M,24,N,4 m [13'] shark
Unprovoked,USA,Hookah diving for abalone (submerged),M,29,N,"White shark, 5.5 m [18'] "
Unprovoked,SOUTH AFRICA,"Thrashing the water / imitating the shark victim from ""Jaws""",M,19,N,"White shark, 3 m [10'] k"
Unprovoked,USA,Surfing,M,19,N,2.1 m [7'] lemon shark or bull shark
Provoked,SOUTH AFRICA,Fishing for white shark,M,27,N,"White shark, 4.8 m "
Boat,SOUTH AFRICA,Boat,M,27,N,White shark
Unprovoked,USA,Surfing,M,25,N,"White shark, 3 m to 4 m [10' to 13'] "
Unprovoked,SOUTH AFRICA,Surfing,M,20,N,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment"
Unprovoked,AUSTRALIA,"Skindiving,",M,27,N,2.7 m  [9'] shark
Unprovoked,USA,Surfing,M,15,N,"Tiger shark, 6' "
Unprovoked,USA,Surfing,M,19,N,"White shark, 4.5 m "
Unprovoked,USA,Spearfishing,M,23,N,6' to 8' shark
Unprovoked,USA,Skindiving,M,17,N,12' to 14' shark
Unprovoked,USA,Swimming,M,27,N,0.9 m to 1.5 m [3' to 5'] shark
Provoked,ITALY,Fishing,M,46,N,"Blue shark, 2m "
Boat,AUSTRALIA,Sitting in bow of her father's 5 m boat,F,27,N,1.5 m [5'] shark
Boat,SOUTH AFRICA,Competing in a light tackle game fishing,M,27,N,"Mako shark, 180-kg [397-lb]"
Boat,SOUTH AFRICA,Fishing,M,27,N,Whale shark
Boat,SOUTH AFRICA,other,M,27,N,White shark named Spotty
Boat,SOUTH AFRICA,other,M,27,N,White shark named Spotty
Boat,SOUTH AFRICA,Shark watching,M,27,N,2.5 m [8.25'] white shark
Provoked,SOUTH AFRICA,Shark fishing,M,27,N,4 m [13'] shark
Provoked,SOUTH AFRICA,Fishing for snoek & yellowtail,M,27,N,"White shark, 3 m [10'] "
Unprovoked,USA,Spearfishing / scuba diving,M,25,N,6' shark
Unprovoked,NEW ZEALAND,Spearfishing,M,27,Y,Bronze whaler shark
Boat,AUSTRALIA,Attempting to drive shark away from the beach,M,27,N,2.4 m [8'] shark
Unprovoked,USA,Scuba diving & spearfishing,M,27,N,White shark
Provoked,AUSTRALIA,Filming & feeding captive sharks,M,35,N,"Grey nurse shark, 10' "
Unprovoked,AUSTRALIA,Standing,M,20,N,5' shark
Unprovoked,SOUTH AFRICA,Standing,M,33,N,Juvenile dusky shark
Unprovoked,USA,Surfing,M,18,N,6' shark
Unprovoked,AUSTRALIA,Surfing,M,20,N,Bronze whaler
Unprovoked,SOUTH AFRICA,Paddleskiing,M,21,N,1.2 m [4'] shark
Unprovoked,SOUTH AFRICA,Surfing,M,19,N,"White shark, 2.4 m [8']"
Unprovoked,USA,Floating on a small orange raft ,M,20,N,1.5 m [5'] shark
Unprovoked,USA,Free diving for abalone,M,44,N,White shark
Unprovoked,AUSTRALIA,Scuba diving for abalone,M,37,Y,White shark
Unprovoked,AUSTRALIA,Surfing,M,21,N,12' shark
Unprovoked,USA,Scuba diving for abalone (at surface),M,23,N,"White shark, 5.8 m [19'] "
Unprovoked,USA,Hookah diving for abalone,M,34,N,"White shark, 5m to 6m"
Unprovoked,USA,Swimming,F,14,N,1.2 m [4'] shark
Provoked,AUSTRALIA,Spearfishing,M,29,N,2.4 m [8'] whaler shark
Unprovoked,USA,Swimming ,M,18,N,4' shark
Unprovoked,SOUTH AFRICA,Spearfishing Competition,M,27,N,"White shark, 600-kg [1323-lb]"
Unprovoked,USA,Floating in inner tube,M,14,N,10' shark
Provoked,AUSTRALIA,Diving & force-feeding the shark,M,18,N,"Bronze whaler shark, 6'"
Provoked,SOUTH AFRICA,Attempting to drag hooked shark ashore by its tail,M,27,N,1.5 m [5']  shark
Unprovoked,SOUTH AFRICA,Surfing,M,16,N,1.5 m [5'] shark
Boat,SOUTH AFRICA,other,M,27,N,"Mako shark, 3 m [10'] "
Unprovoked,AUSTRALIA,Swimming underwater from crayfish cage to a fishing bait,M,12,Y,"White shark, 3 m [10'] "
Unprovoked,AUSTRALIA,Crayfishing,M,45,N,"Carpet shark, 10' "
Provoked,SOUTH AFRICA,Fishing,M,12,N,"Copper shark, 50-kg [110-b] "
Unprovoked,BERMUDA,Spearfishing,M,25,N,8' blue shark
Unprovoked,USA,Surfing,M,17,N,"White shark, 5.5 m to 6 m [18' to 20'] "
Unprovoked,USA,Hookah diving for abalone,M,29,N,"White shark, 4 m to 5 m "
Unprovoked,ISRAEL,Swimming,F,20,N,"Shortfin mako shark, 2.3 m [7.5'] "
Unprovoked,USA,Scuba diving (but on surface),M,41,N,"White shark, 5 m to 6 m [16.5 to 20'] "
Unprovoked,USA,Scuba diving (but on surface),M,48,N,"White shark, 5 m to 6 m [16.5 to 20'] "
Unprovoked,USA,Surfing,M,24,N,"White shark, 4.5 m "
Unprovoked,CROATIA,other,M,21,Y,"White shark, 5 m [16.5'] "
Unprovoked,USA,Surfing,M,27,N,"White shark, 5 m "
Unprovoked,USA,Free diving for abalone (submerged),M,36,N,"White shark, 5.5 m [18'] "
Unprovoked,USA,Swimming,M,17,Y,small sharks'
Sea Disaster,USA,Adrift after the sinking of the motor yacht Princess Dianne,M,10,Y,3.7 m [12'] sharks
Unprovoked,USA,Free diving (but on surface),M,45,N,"White shark, 5 m [16.5']"
Unprovoked,SOUTH AFRICA,Spearfishing,M,22,N,"Raggedtooth shark, 1.5 m [5'] "
Unprovoked,SOUTH AFRICA,Surfing,M,17,N,Juvenile dusky shark
Unprovoked,SOUTH AFRICA,Surfing,M,21,N,1.8 m [6'] shark
Boat,SOUTH AFRICA,Fishing for kob,M,27,N,White shark
Boat,SOUTH AFRICA,Fishing for red fish,M,27,N,5 m white shark
Boat,SOUTH AFRICA,Fishing for kob,M,27,N,White shark
Unprovoked,SOUTH AFRICA,Sitting,M,42,N,"Raggedtooth shark, 1 m "
Unprovoked,AUSTRALIA,Diving for abalone,M,26,Y,White shark
Unprovoked,SOUTH AFRICA,Swimming,M,33,N,2 m to 2.5 m [6.75'  to 8.25'] shark
Unprovoked,AUSTRALIA,Spearfishing,M,27,N,"Bronze whaler shark, 4' "
Unprovoked,BAHAMAS,"Free diving, Spearfishing",M,11,N,7' to 8' bull shark
Unprovoked,MEXICO,"Free diving, Spearfishing",M,37,Y,White shark
Unprovoked,EGYPT,other,M,27,N,Tiger shark
Unprovoked,AUSTRALIA,Surfing,M,16,N,12' shark
Unprovoked,USA,Crabbing (spearing crabs),M,17,N,1.5 m to 1.8 m [5' to 6']  blacktip shark
Unprovoked,SOUTH AFRICA,Spearfishing,M,26,N,"2 m shark, possibly a dusky or blacktip shark"
Provoked,SOUTH AFRICA,Fishing from paddleski,M,27,N,1 m shark
Unprovoked,USA,Surfing,M,27,N,1.2 m to 1.8 m [4' to 6'] shark observed in area
Unprovoked,PALAU,Scuba diving (submerged),M,27,N,Tiger shark
Unprovoked,PALAU,Scuba diving & U/W photography,M,27,N,Grey reef shark
Unprovoked,MOZAMBIQUE,Swimming,M,25,N,2 m to 3 m shark
