Type,Country,Activity,Sex ,Age,Fatal (Y/N),Species 
Unprovoked,USA,Surfing,M,25,N,"Bull shark, 6'"
Unprovoked,REUNION,Surfing,M,20,N,"Bull shark, 3.5 m"
Unprovoked,USA,SUP Foil boarding,M,21,N,"Tiger shark, 10' "
Unprovoked,USA,Surfing,M,22,N,Blacktip shark
Unprovoked,SPAIN,Swimming,M,40,N,Blue shark
Boating,AUSTRALIA,Kayaking,M,27,N,White shark
Provoked,USA,Lobstering,M,43,N,"Nurse shark, 4'"
Unprovoked,BAHAMAS,Spearfishing,M,27,N,"Bull shark, 6'"
Provoked,AUSTRALIA,Fishing,M,31,N,"reef shark, 1m"
Boating,USA,Fishing in Alabama Deep Fishing Rodeo,M,27,N,"Tiger shark, 10' "
Unprovoked,USA,Kite surfing,M,61,N,"White shark, 10' to 12'"
Unprovoked,BAHAMAS,Scuba Diving,M,27,N,"Lemon shark, 9'"
Unprovoked,SPAIN,Wading,F,10,N,Angel shark
Boating,USA,Fishing for squid,M,27,N,White shark
Provoked,USA,Fishing,M,59,N,dogfish shark
Boating,USA,Fishing for sharks,M,27,N,White shark
Provoked,AUSTRALIA,Fishing,M,34,N,Tawny nurse shark
Unprovoked,USA,other,M,35,N,3' to 4' shark
Unprovoked,COLUMBIA,Scuba Diving,M,59,N,"Caribbean reef shark, 4.5'"
Unprovoked,SOUTH AFRICA,Spearfishing,M,43,N,White shark
Unprovoked,USA,Floating,M,42,N,3' to 5' shark
Unprovoked,USA,Surfing,M,27,N,3' to 4' shark
Provoked,AUSTRALIA,Spearfishing,M,19,N,5' shark
Unprovoked,USA,Floating in tube,F,6,N,3' to 4' shark
Unprovoked,USA,Standing,M,19,N,3' shark
Unprovoked,AUSTRALIA,Diving,F,60,Y,3+ m shark
Unprovoked,EGYPT,Swimming,M,23,N,Mako shark
Unprovoked,NEW CALEDONIA,Kite surfing,M,27,N,3 m shark
Unprovoked,AUSTRALIA,Surfing,M,29,Y,White shark
Unprovoked,USA,Swimming,M,13,N,5' shark
Unprovoked,USA,Swimming,F,22,N,"Bull shark, 4' to 5'"
Unprovoked,USA,Swimming,M,48,N,"Blacktip shark, 4'"
Provoked,USA,Teasing a shark,F,23,N,"Nurse shark, 2'"
Provoked,NEW ZEALAND,Fishing,M,39,N,"Mako shark, 1.5 m [5'] "
Unprovoked,INDONESIA,Surfing,M,24,N,"Bull shark, 6'"
Unprovoked,SOUTH AFRICA,Surf-skiing,M,27,N,White shark
Unprovoked,AUSTRALIA,Swimming,M,12,N,Wobbegong shark
Provoked,FRENCH POLYNESIA,Spearfishing,M,22,M,"Grey reef shark, 2 m"
